query,size,stream,streams,parallelism,measurement
q7,100,2,1,4,44.588951110839844
q19,100,2,1,4,42.14540410041809
q50,100,2,1,4,61.288914918899536
q53,100,2,1,4,25.559510946273804
q52,100,2,1,4,12.714635133743286
q99,100,2,1,4,22.812824010849
q59,100,2,1,4,41.46428394317627
q91,100,2,1,4,6.034240961074829
q96,100,2,1,4,18.79057788848877
q55,100,2,1,4,20.422828912734985
q93,100,2,1,4,34.24523687362671
q15,100,2,1,4,25.095870971679688
q31,100,2,1,4,42.39646792411804
q30,100,2,1,4,8.403324127197266
q11,100,2,1,4,22.671629905700684
q79,100,2,1,4,43.49739098548889
q34,100,2,1,4,28.715112924575806
q76,100,2,1,4,44.463948011398315
q39,100,2,1,4,50.65656590461731
q74,100,2,1,4,9.067420959472656
q73,100,2,1,4,30.28846001625061
q71,100,2,1,4,31.665644884109497
q17,100,2,1,4,89.38221883773804
q83,100,2,1,4,15.517982006072998
q81,100,2,1,4,9.141765832901001
q85,100,2,1,4,34.17745900154114
q89,100,2,1,4,23.790297985076904
q46,100,3,1,4,43.738014221191406
q42,100,3,1,4,17.583280086517334
q43,100,3,1,4,33.53049111366272
q78,100,3,1,4,42.48989200592041
q68,100,3,1,4,53.43223190307617
q25,100,3,1,4,55.262062072753906
q26,100,3,1,4,24.748559951782227
q65,100,3,1,4,55.75967717170715
q29,100,3,1,4,134.4497811794281
q39,100,3,1,4,86.56990385055542
q62,100,3,1,4,12.134880065917969
q63,100,3,1,4,26.55383586883545
q1,100,3,1,4,12.200017929077148
q3,100,3,1,4,34.45389199256897
q2,100,3,1,4,41.040442943573
q4,100,3,1,4,16.151409149169922
q7,100,3,1,4,51.18807101249695
q19,100,3,1,4,27.504683017730713
q50,100,3,1,4,65.87975811958313
q53,100,3,1,4,26.67698907852173
q52,100,3,1,4,16.253121852874756
q99,100,3,1,4,17.504784107208252
q59,100,3,1,4,54.02979588508606
q91,100,3,1,4,7.829419136047363
q96,100,3,1,4,16.89871907234192
q55,100,3,1,4,24.36827301979065
q93,100,3,1,4,53.367645025253296
q15,100,3,1,4,13.398668050765991
q31,100,3,1,4,13.689945936203003
q30,100,3,1,4,8.836191892623901
q11,100,3,1,4,35.521130084991455
q79,100,3,1,4,26.04955506324768
q34,100,3,1,4,18.94890522956848
q76,100,3,1,4,29.912781953811646
q75,100,3,1,4,5.9604644775390625e-06
q74,100,3,1,4,19.02714204788208
q73,100,3,1,4,32.131221771240234
q71,100,3,1,4,28.55488085746765
q17,100,3,1,4,137.2582139968872
q83,100,3,1,4,19.078999996185303
q81,100,3,1,4,8.251652002334595
q85,100,3,1,4,37.68343687057495
q89,100,3,1,4,29.822736024856567
